Name|Description|Price tax included|Price tax excluded|Image URLs
Diuna|Diuna opowiada historię niezwykłej, pełnej przygód i emocji podróży Paula Atreidesa. Temu genialnemu i utalentowanemu młodemu człowiekowi pisane jest wspaniałe przeznaczenie, którego on sam nie jest w stanie pojąć. Najpierw jednak Paul musi się udać na najbardziej niebezpieczną planetę we wszechświecie, żeby ratować rodzinę i rodaków. Na planecie wybucha zażarty konflikt o dostęp do niewystępującej nigdzie indziej, najcenniejszej ze znanych substancji. Wyzwala ona w ludziach ich największy potencjał. Ale wojnę przetrwają tylko ci, którzy pokonają swój strach.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/diuna-b1-1-final2809_6e3855be95.jpg
Eternals|"Kolejni bohaterowie w epickim Kinowym Uniwersum Marvela. Tym razem poznamy nieśmiertelną rasę, która ukształtowała życie na Ziemi. W ""Eternals"" zobaczymy Angelinę Jolie, Richarda Maddena i Salmę Hayek."|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/eternals-plakat-official-cut_26d352b32d.jpg
Furioza|„Furioza” to bezkompromisowa historia policjantki, która spróbuje rozbić układ, w którym się wychowała. To opowieść o miłości niemożliwej, o ludziach, którzy muszą stanąć po dwóch stronach barykady i tragicznym wyborze pomiędzy uczuciem, a przestępczym życiem zgodnym z określonymi zasadami. Film, który zadaje pytanie, czy człowiek ma prawo do zemsty, kiedy wymiar sprawiedliwości jest bezsilny?|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/furioza-plakat-oficjalnycut_87d1bd7a36.jpg
Nie czas umierać|James Bond wycofał się z czynnej służby i spokojnie spędza czas na Jamajce. Tymczasem jego stary przyjaciel Felix Leiter z CIA zwraca się do niego o pomoc. Chodzi o uprowadzonego naukowca, którego trzeba wyrwać z rąk porywaczy. Misja okazuje się o wiele bardziej zdradziecka, niż mogłoby się wydawać i naprowadza agenta 007 na ślad tajemniczego przestępcy, dysponującego nową, niezwykle niebezpieczną technologią.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/nttd-poster-pl-2021_14841a7687.jpg
Pitbull|Kiedy podłożony na stacji paliw ładunek wybuchowy zabija policyjnego sapera, komendant główny policji przydziela do sprawy Gebelsa z wydziału ds. zabójstw. Śledztwo prowadzi go na trop przestępcy ze zbrojnego ramienia  grupy Pershinga - konstruktora bomb i porywacza, stojącego za dziesiątkami zamachów w Polsce i ponad setką porwań w całym kraju.  Konfrontacja bandyty i psa przeradza się w regularną wojnę. Od tych wydarzeń mijają lata. Znany z serialu syn Gebelsa, Jarek, który jest studentem informatyki na politechnice, wraz z kolegami znajduje ryzykowny sposób na szybki zarobek i przy wykorzystaniu wiedzy zaczyna dokonywać włamań do willi bogatych ludzi. Pech chce, że którejś nocy wybiera niewłaściwy dom, a Gebels staje przed sytuacją bez wyjścia, w której musi wsadzić własne dziecko do więzienia. Może być policjantem, który aresztuje przestępcę. Albo ojcem, który uratuje dziecko.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/pitbull-oficjalny-plakat-27-10_ae40fd994e.jpg
Ty jesteś następna|Grupa uczennic prestiżowej szkoły w ramach niewinnej zabawy odprawia tajemniczy rytuał wywoływania duchów. W kolejnych dniach dziewczyny, jedna po drugiej, zaczynają znikać w niewyjaśnionych okolicznościach.|16,9|13,74|https://media.multikino.pl/uploads/images/films_and_events/ty-jestes-nastepna_8f0fce167a.JPG
Wesele|A jeśli już się uda, to najczęściej w ukryciu – w obawie i strachu przed konsekwencjami i zdemaskowaniem. Świt zastanie bohaterów w różnej kondycji, stanie emocjonalnym i z różnym bagażem doświadczeń. Pewne jest tylko jedno – z tym weselnym kacem każdy będzie musiał poradzić sobie sam.|19,9|16,18|https://media.multikino.pl/uploads/images/films_and_events/wesele-plakat-oficjalny-cut_7a6a92dec6.jpg
